policy,start,end,sharpe,total_return_pct,max_drawdown
static_2sigma,2020-01-03,2021-12-31,0.26432901303936057,1.894781801110157,0.040779190641770324
static_2sigma,2022-01-03,2023-12-29,0.5123827658512589,2.216464590976064,0.02406898359081323
static_2sigma,2024-01-02,2026-05-11,-0.7860658688192599,-4.939863975951974,0.07171592489566611
static_tuned_3.0sigma,2020-01-03,2021-12-31,0.389956265784629,2.6512984735524325,0.03590139928176501
static_tuned_3.0sigma,2022-01-03,2023-12-29,0.8529462091255909,3.174990503235131,0.017737527739473492
static_tuned_3.0sigma,2024-01-02,2026-05-11,-0.7139971822503767,-4.139351576456729,0.06593142573512019
dqn_frozen_ensemble,2020-01-03,2021-12-31,0.6815564905031678,3.501822566981594,0.02668281637862316
dqn_frozen_ensemble,2022-01-03,2023-12-29,0.07518741578151197,0.15191743664302315,0.009619084640794822
dqn_frozen_ensemble,2024-01-02,2026-05-11,-0.992778130273746,-3.8328329702385644,0.04554411922592026
rolling_dqn_ensemble,2020-01-03,2021-12-31,0.11703407290276727,0.47109093723889384,0.028761537488870854
rolling_dqn_ensemble,2022-01-03,2023-12-29,-0.8801053270991005,-1.3619686180702861,0.017840992812264485
rolling_dqn_ensemble,2024-01-02,2026-05-11,-1.2823689292706242,-5.93445000226046,0.07003354854137071
